codigo_de_barras,nome_do_arquivo
00291770,coca_cola_zero_coca_cola_zero
291770,coca_cola_zero_coca_cola_zero_2
0060410075098,ruffles_ruffles
0028400517751,ruffles_ruffles_2
92592674,ruffles_ruffles_3
5941000025431,ruffles_ruffles_4
3338310018864,maison_tino_petites_pissaladieres
3181580268602,jean_stalaven_sans_marque_tarte_fine_aux
3245390112880,grand_jury_carottes_rapees
0209004013843,e_leclerc_grandes_carottes_rapees
3760011178040,toupargel_6_crepes_roulees_jambon_emment
8999999002503,bango_kecap_manis
3324498002542,les_comtes_de_provence_confiture_pomme_a
3045320617887,andros_oranges_pressees
7891079012987,nissin_lamen_pack_macarrao_instantaneo_l
7891079012130,nissin_nissin_miojo_cremoso_sabor_carne
4897053640156,nissin_nissin
7501005107013,uniliver_atole_chocolate
00840293,maizena_maizena
7896022086787,isabela_biscoito_doce_maizena
7896022201937,lamen
7896024761408,piraque_piraque_recheado_supreme_limao
0026573400108,linguica
0030991000604,linguica_2
0080046262303,linguica_calabresa
0080046261375,linguica_toscana
7891515536015,perdigao_fusilli_com_tiras_de_frango_per
7622210719829,milka_bis_oreo
5000116128938,birds_eye_bi
0611269818994,red_bull_red_bull
90446924,red_bull_cactus_red_bull
03213483,red_bull
90162718,red_bull_red_bull_2
22220768,red_bull_red_bull_energy_drink
90162909,red_bull_orginal_red_bull_250ml
2000000151417,red_bull_energy_drinks_red_bull
2619800007454,quitanda_presunto
7896481033391,presunto
2465800003091,presunto_seara
8437000542056,jamones_arroyo_jamon_serrano_premium
5602348112664,presunto_macao
5601149023896,mostarda_original
5601517380019,paladin_moutarde
76405761,sandro_vanini_mostarda_puree_doranges_a
87157451,heinz_mostarda_heinz_yellow_top_down_220
8410066143474,heinz_heinz_maionese
8410066723232,heinz_heinz_maionese_2
7892840819507,toddy_achoc_po_toddy
7892840819170,toddy_toddy
6009801327006,toddy
7590006700071,toddy_2
